num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
32,32,1,16384,51200,256,1,1,1,0.305,1.591,1.035,0.963,0.666,2.655,2.571,25.406,0.1492,0.231,0.0001,2.612,0.1493,0.233
32,64,1,16384,51200,256,1,1,1,0.62,6.566,2.345,1.937,2.08,11.129,10.568,44.528,0.1459,0.475,0.0001,10.841,0.146,0.482
32,96,1,16384,51200,256,1,1,1,0.828,18.266,3.363,2.868,6.108,24.237,24.672,74.972,0.16,0.652,0.0001,24.453,0.1601,0.667
32,128,1,16384,51200,256,1,1,1,4.575,24.198,4.519,3.865,10.877,42.541,43.261,96.15,0.0654,2.135,0.0001,42.898,0.0655,2.197
32,160,1,16384,51200,256,1,1,1,1.372,35.465,5.48,4.75,17.246,60.611,68.2,104.938,0.1617,1.083,0.0001,64.182,0.1618,1.124
32,192,1,16384,51200,256,1,1,1,1.848,63.891,6.703,5.77,24.433,70.807,89.083,124.645,0.1475,1.431,0.0001,78.9,0.1476,1.495
32,224,1,16384,51200,256,1,1,1,1.926,76.025,7.591,6.612,33.858,86.672,100.746,143.262,0.1617,1.529,0.0001,93.18,0.1618,1.609
32,256,1,16384,51200,256,1,1,1,9.096,94.188,8.805,7.689,43.122,108.568,128.438,160.236,0.0665,4.263,0.0001,117.67,0.0666,4.511
32,288,1,16384,51200,256,1,1,1,2.445,98.427,9.618,8.364,51.165,113.911,91.42,95.716,0.1662,1.926,0.0002,101.433,0.1664,2.054
32,320,1,16384,51200,256,1,1,1,3.065,113.462,10.971,9.616,59.961,123.726,117.529,103.787,0.151,2.365,0.0002,120.548,0.1512,2.539
32,352,1,16384,51200,256,1,1,1,2.996,117.298,11.65,10.176,70.586,135.607,135.111,111.066,0.1664,2.369,0.0002,135.359,0.1667,2.56
32,384,1,16384,51200,256,1,1,1,13.434,131.634,13.222,11.542,78.9,144.839,138.21,118.28,0.0698,6.187,0.0003,141.447,0.07,6.715
32,416,1,16384,51200,256,1,1,1,3.521,142.575,13.623,11.978,85.248,159.289,157.914,125.668,0.1676,2.8,0.0003,158.599,0.1679,3.065
32,448,1,16384,51200,256,1,1,1,4.275,144.057,15.198,13.371,91.444,171.446,158.207,131.69,0.1522,3.332,0.0003,164.561,0.1526,3.67
32,480,1,16384,51200,256,1,1,1,4.058,158.165,15.574,13.733,104.278,156.927,171.352,139.65,0.1683,3.242,0.0004,163.822,0.1687,3.593
32,512,1,16384,51200,256,1,1,1,17.733,170.887,17.441,15.398,116.08,175.198,192.427,146.71,0.0707,8.263,0.0004,183.408,0.0711,9.186
32,544,1,16384,51200,256,1,1,1,4.35,170.326,16.521,11.359,110.196,174.914,134.014,119.285,0.1856,3.357,0.0005,151.756,0.1861,3.764
32,576,1,16384,51200,256,1,1,1,5.227,173.965,18.222,13.979,111.116,175.519,150.389,125.076,0.1654,4.002,0.0005,161.985,0.166,4.513
32,608,1,16384,51200,256,1,1,1,4.846,158.771,18.288,12.639,123.907,175.248,181.389,131.264,0.1865,3.761,0.0005,178.266,0.187,4.268
32,640,1,16384,51200,256,1,1,1,21.844,173.378,20.944,14.986,130.207,188.614,171.087,135.24,0.0791,9.37,0.0006,179.423,0.0797,10.648
32,672,1,16384,51200,256,1,1,1,5.325,178.915,20.124,13.932,139.757,182.168,177.301,138.741,0.1878,4.157,0.0007,179.701,0.1885,4.771
32,704,1,16384,51200,256,1,1,1,6.352,184.998,22.044,16.911,149.488,188.163,196.187,142.467,0.1672,4.911,0.0007,192.091,0.1678,5.665
32,736,1,16384,51200,256,1,1,1,5.809,183.472,21.876,15.166,156.583,174.57,201.525,146.93,0.189,4.558,0.0008,187.082,0.1897,5.288
32,768,1,16384,51200,256,1,1,1,25.897,193.016,24.865,17.786,158.11,185.608,195.482,150.73,0.0806,11.193,0.0008,190.417,0.0814,12.981
32,800,1,16384,51200,256,1,1,1,6.206,174.782,23.528,15.541,141.738,179.06,158.767,119.412,0.196,4.81,0.001,168.304,0.197,5.637
32,832,1,16384,51200,256,1,1,1,7.478,187.337,25.696,19.763,151.38,182.911,168.095,125.138,0.1711,5.751,0.001,175.191,0.1722,6.77
32,864,1,16384,51200,256,1,1,1,6.67,172.02,25.254,16.738,152.501,179.019,163.718,131.491,0.1968,5.212,0.0011,171.027,0.1979,6.171
32,896,1,16384,51200,256,1,1,1,29.814,170.116,28.542,20.315,156.587,175.765,160.799,134.716,0.0846,12.617,0.0013,167.949,0.0858,14.885
32,928,1,16384,51200,256,1,1,1,7.122,196.313,26.869,17.924,171.65,180.904,178.863,138.197,0.1981,5.599,0.0013,179.878,0.1994,6.696
32,960,1,16384,51200,256,1,1,1,8.585,177.655,29.245,22.47,175.168,185.338,152.999,140.95,0.1727,6.667,0.0014,167.623,0.1742,7.999
32,992,1,16384,51200,256,1,1,1,7.567,184.416,28.356,18.964,175.937,181.004,195.063,143.457,0.1999,5.972,0.0014,187.77,0.2013,7.213
32,1024,1,16384,51200,256,1,1,1,33.88,184.241,32.994,24.011,183.271,187.094,192.816,144.629,0.0846,14.615,0.0014,189.912,0.0861,17.562
32,1056,1,16384,51200,256,1,1,1,8.049,178.005,28.444,22.224,171.328,180.155,166.185,130.419,0.2007,6.377,0.0017,172.888,0.2024,7.768
32,1088,1,16384,51200,256,1,1,1,9.579,182.771,30.975,24.677,171.42,185.044,143.53,134.956,0.1789,7.398,0.0019,161.664,0.1808,9.036
32,1120,1,16384,51200,256,1,1,1,8.452,186.747,29.938,23.467,185.891,184.15,168.494,137.63,0.2025,6.749,0.0019,175.975,0.2044,8.297
32,1152,1,16384,51200,256,1,1,1,37.711,171.459,35.126,26.041,171.099,173.467,163.625,137.761,0.0892,15.817,0.0021,168.402,0.0913,19.271
32,1184,1,16384,51200,256,1,1,1,8.853,192.104,31.403,24.634,195.772,179.599,185.75,137.309,0.2051,7.095,0.002,182.623,0.2071,8.801
32,1216,1,16384,51200,256,1,1,1,10.68,177.995,34.369,27.39,192.915,194.597,182.496,139.096,0.1808,8.293,0.0021,188.352,0.1829,10.319
32,1248,1,16384,51200,256,1,1,1,9.26,179.714,32.821,25.867,199.267,187.255,189.227,136.356,0.2075,7.442,0.0022,188.235,0.2097,9.312
32,1280,1,16384,51200,256,1,1,1,41.403,182.576,38.682,28.95,203.7,194.999,186.998,137.381,0.0915,17.372,0.0022,190.915,0.0937,21.538
32,1312,1,16384,51200,256,1,1,1,9.634,186.961,34.425,26.361,183.825,184.614,177.458,140.051,0.2103,7.77,0.0025,180.965,0.2128,9.799
32,1344,1,16384,51200,256,1,1,1,11.726,178.219,37.597,28.886,171.964,187.328,172.345,142.132,0.1844,9.108,0.0026,179.524,0.1871,11.51
32,1376,1,16384,51200,256,1,1,1,9.763,183.825,35.911,23.621,179.916,186.262,189.778,144.636,0.2205,7.826,0.0026,188.004,0.2231,9.958
32,1408,1,16384,51200,256,1,1,1,44.982,185.35,42.028,31.202,184.152,189.359,186.939,145.972,0.0934,18.967,0.0028,188.141,0.0962,23.826
32,1440,1,16384,51200,256,1,1,1,10.114,187.143,37.278,24.719,181.059,181.615,160.447,145.775,0.2229,8.155,0.0032,170.376,0.2261,10.444
32,1472,1,16384,51200,256,1,1,1,12.8,194.439,40.644,31.368,195.509,185.852,188.247,147.808,0.1863,10.009,0.003,187.042,0.1893,12.849
32,1504,1,16384,51200,256,1,1,1,10.479,191.279,38.66,25.529,194.382,178.809,196.891,148.463,0.2252,8.489,0.0032,187.415,0.2283,10.969
32,1536,1,16384,51200,256,1,1,1,48.758,187.839,45.577,34.362,193.448,177.519,194.001,148.222,0.0949,20.629,0.0033,185.394,0.0983,26.223
32,1568,1,16384,51200,256,1,1,1,10.834,180.578,34.512,27.363,176.135,172.219,179.358,131.829,0.2323,8.635,0.0037,175.716,0.236,11.232
32,1600,1,16384,51200,256,1,1,1,13.704,198.531,41.682,32.454,181.273,168.585,182.266,134.731,0.1941,10.58,0.0038,175.159,0.1979,13.766
32,1632,1,16384,51200,256,1,1,1,11.156,183.485,35.582,28.434,177.779,166.973,166.737,135.096,0.2347,8.954,0.0042,166.855,0.2389,11.72
