num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
32,32,1,8192,51200,256,1,1,1,0.277,1.068,1.013,0.958,0.343,1.373,1.36,23.618,0.0409,0.212,0.0001,1.366,0.041,0.214
32,64,1,8192,51200,256,1,1,1,0.566,4.251,2.254,1.914,1.346,5.707,5.611,43.36,0.04,0.436,0.0001,5.658,0.0401,0.449
32,96,1,8192,51200,256,1,1,1,0.76,9.414,3.262,2.765,3.175,12.84,12.276,70.234,0.0438,0.603,0.0001,12.552,0.0439,0.629
32,128,1,8192,51200,256,1,1,1,4.399,16.791,4.348,3.798,5.56,22.501,21.544,91.143,0.0176,2.018,0.0001,22.012,0.0177,2.128
32,160,1,8192,51200,256,1,1,1,1.258,27.618,5.256,4.582,8.429,33.078,34.295,103.06,0.0443,1.007,0.0001,33.676,0.0444,1.08
32,192,1,8192,51200,256,1,1,1,1.691,36.297,6.433,5.672,12.438,49.345,50.669,121.662,0.0405,1.334,0.0001,49.998,0.0406,1.45
32,224,1,8192,51200,256,1,1,1,1.758,40.193,7.262,6.374,16.561,50.935,63.043,138.503,0.0445,1.424,0.0001,56.346,0.0446,1.568
32,256,1,8192,51200,256,1,1,1,8.792,62.186,8.469,7.556,22.787,79.654,85.015,154.278,0.0179,4.077,0.0001,82.248,0.018,4.53
32,288,1,8192,51200,256,1,1,1,2.237,72.697,9.221,7.978,27.31,81.375,67.076,116.15,0.0458,1.808,0.0001,73.536,0.0459,2.038
32,320,1,8192,51200,256,1,1,1,2.798,82.511,10.574,9.427,36.034,96.365,94.466,128.894,0.0415,2.231,0.0001,95.406,0.0417,2.546
32,352,1,8192,51200,256,1,1,1,2.743,85.392,11.242,9.639,43.34,103.048,107.866,138.04,0.0458,2.24,0.0002,105.402,0.046,2.586
32,384,1,8192,51200,256,1,1,1,13.137,91.558,12.709,11.276,51.534,112.264,118.894,146.633,0.0188,5.998,0.0002,115.484,0.019,6.965
32,416,1,8192,51200,256,1,1,1,3.214,110.987,13.176,11.267,61.318,129.586,133.743,155.358,0.0463,2.657,0.0002,131.632,0.0465,3.135
32,448,1,8192,51200,256,1,1,1,3.89,111.95,14.619,13.11,55.659,132.701,131.586,160.718,0.0421,3.169,0.0002,132.141,0.0423,3.776
32,480,1,8192,51200,256,1,1,1,3.71,123.631,14.993,12.944,79.237,125.703,134.673,163.255,0.0466,3.088,0.0002,130.034,0.0468,3.717
32,512,1,8192,51200,256,1,1,1,17.347,130.838,16.756,15.139,87.51,142.312,171.114,173.66,0.0192,8.06,0.0002,155.39,0.0194,9.739
32,544,1,8192,51200,256,1,1,1,4.002,141.772,16.022,11.222,75.383,134.162,124.355,130.649,0.0512,3.23,0.0003,129.073,0.0515,3.964
32,576,1,8192,51200,256,1,1,1,4.748,145.084,17.427,13.266,80.033,135.489,127.362,135.17,0.0466,3.786,0.0003,131.3,0.0469,4.686
32,608,1,8192,51200,256,1,1,1,4.459,138.87,17.844,12.539,84.119,159.3,144.825,137.178,0.0516,3.632,0.0003,151.718,0.0519,4.543
32,640,1,8192,51200,256,1,1,1,21.248,144.341,20.306,15.044,93.885,164.281,152.312,140.228,0.0221,9.003,0.0003,158.071,0.0224,11.262
32,672,1,8192,51200,256,1,1,1,4.901,149.008,19.39,13.714,101.743,155.96,156.853,146.474,0.0521,4.03,0.0004,156.405,0.0525,5.128
32,704,1,8192,51200,256,1,1,1,5.776,141.401,21.379,16.099,107.981,165.011,167.634,142.272,0.0474,4.672,0.0004,166.312,0.0478,5.993
32,736,1,8192,51200,256,1,1,1,5.339,149.413,20.871,15.01,109.624,171.401,176.972,148.807,0.0527,4.42,0.0004,174.142,0.0531,5.722
32,768,1,8192,51200,256,1,1,1,25.277,157.014,23.954,17.848,121.159,176.828,179.222,151.456,0.0228,10.76,0.0004,178.017,0.0232,13.892
32,800,1,8192,51200,256,1,1,1,5.741,166.335,22.846,15.316,115.737,171.588,171.785,123.019,0.0549,4.68,0.0005,171.687,0.0553,6.154
32,832,1,8192,51200,256,1,1,1,6.783,172.677,24.79,18.904,122.108,178.999,183.073,126.623,0.0491,5.468,0.0005,181.013,0.0496,7.241
32,864,1,8192,51200,256,1,1,1,6.133,166.963,24.339,16.493,128.311,189.357,167.016,130.083,0.0555,5.06,0.0006,177.486,0.0561,6.756
32,896,1,8192,51200,256,1,1,1,29.242,166.977,27.578,19.844,128.904,184.738,166.351,134.051,0.0246,11.92,0.0006,175.063,0.0252,15.813
32,928,1,8192,51200,256,1,1,1,6.582,177.079,25.966,17.567,139.423,197.614,193.177,136.47,0.0558,5.478,0.0006,195.37,0.0564,7.425
32,960,1,8192,51200,256,1,1,1,7.804,184.59,28.081,21.649,145.299,199.993,121.711,138.872,0.0497,6.399,0.0008,151.328,0.0505,8.689
32,992,1,8192,51200,256,1,1,1,6.989,192.796,27.624,18.719,151.931,189.882,201.662,142.108,0.0562,5.881,0.0007,195.595,0.0569,8.079
32,1024,1,8192,51200,256,1,1,1,32.878,195.344,31.792,24.586,154.997,188.686,207.964,145.398,0.0246,13.992,0.0007,197.856,0.0253,19.05
32,1056,1,8192,51200,256,1,1,1,7.374,183.389,27.571,21.315,147.485,185.298,178.753,136.632,0.0571,6.24,0.0008,181.967,0.0579,8.677
32,1088,1,8192,51200,256,1,1,1,8.693,189.104,29.699,23.77,151.236,182.743,143.09,139.216,0.0516,7.157,0.001,160.504,0.0526,9.974
32,1120,1,8192,51200,256,1,1,1,7.757,191.384,28.972,22.494,151.207,176.838,179.856,141.998,0.0577,6.635,0.0009,178.334,0.0586,9.335
32,1152,1,8192,51200,256,1,1,1,36.402,172.877,34.318,26.127,155.398,172.401,165.474,143.903,0.0262,15.151,0.001,168.867,0.0272,20.976
32,1184,1,8192,51200,256,1,1,1,8.144,190.616,30.783,23.674,163.917,187.708,186.489,147.798,0.0581,7.049,0.001,187.097,0.0591,10.04
32,1216,1,8192,51200,256,1,1,1,9.68,190.179,32.875,26.251,170.656,185.742,189.668,150.099,0.0522,8.106,0.001,187.684,0.0533,11.588
32,1248,1,8192,51200,256,1,1,1,8.528,193.848,32.346,24.863,175.166,182.455,189.276,151.414,0.0587,7.452,0.0011,185.803,0.0598,10.732
32,1280,1,8192,51200,256,1,1,1,40.206,192.491,38.058,28.802,179.292,183.797,187.599,154.639,0.0265,16.995,0.0012,185.679,0.0277,24.039
32,1312,1,8192,51200,256,1,1,1,8.883,182.722,33.671,25.422,160.06,186.278,168.948,133.184,0.0607,7.66,0.0013,177.19,0.062,11.142
32,1344,1,8192,51200,256,1,1,1,10.65,173.788,36.376,28.674,165.335,184.243,162.53,135.189,0.0542,8.848,0.0014,172.707,0.0555,12.893
32,1376,1,8192,51200,256,1,1,1,9.247,181.043,34.857,26.542,176.216,182.703,174.649,136.456,0.0614,8.043,0.0014,178.585,0.0627,11.82
32,1408,1,8192,51200,256,1,1,1,43.758,183.617,41.292,30.797,177.49,187.414,178.918,139.296,0.0285,17.793,0.0014,183.067,0.03,25.623
32,1440,1,8192,51200,256,1,1,1,9.607,184.227,36.219,27.572,183.682,177.939,168.079,141.179,0.0619,8.443,0.0016,172.869,0.0635,12.517
32,1472,1,8192,51200,256,1,1,1,11.647,174.513,39.188,31.354,182.955,185.411,186.502,142.676,0.0547,9.815,0.0015,185.955,0.0563,14.597
32,1504,1,8192,51200,256,1,1,1,9.961,176.089,37.581,28.748,177.972,185.416,189.57,145.078,0.0625,8.837,0.0016,187.47,0.064,13.249
32,1536,1,8192,51200,256,1,1,1,47.08,180.573,44.599,33.857,186.342,187.489,192.207,146.708,0.0291,19.481,0.0016,189.819,0.0307,28.511
32,1568,1,8192,51200,256,1,1,1,10.225,185.643,32.996,29.113,183.434,180.443,175.575,146.346,0.0646,9.006,0.0018,177.976,0.0664,13.611
32,1600,1,8192,51200,256,1,1,1,12.514,189.148,40.339,33.649,189.856,186.962,183.014,146.644,0.0561,10.653,0.0018,184.967,0.0579,16.116
32,1632,1,8192,51200,256,1,1,1,10.553,177.417,34.294,30.146,193.566,190.499,175.745,148.886,0.0653,9.378,0.0019,182.825,0.0672,14.304
32,1664,1,8192,51200,256,1,1,1,50.064,180.586,47.011,35.495,196.968,186.337,191.311,151.381,0.0302,20.82,0.0019,188.791,0.0321,30.882
32,1696,1,8192,51200,256,1,1,1,10.867,183.832,35.237,31.192,202.159,181.119,190.259,153.772,0.0659,9.768,0.002,185.577,0.0679,15.025
32,1728,1,8192,51200,256,1,1,1,13.472,176.973,43.196,36.103,190.894,175.897,183.512,154.966,0.0567,11.64,0.0022,179.624,0.0588,17.86
32,1760,1,8192,51200,256,1,1,1,11.172,185.439,36.199,32.263,209.404,187.336,196.71,154.589,0.0668,10.119,0.0021,191.908,0.0689,15.704
32,1792,1,8192,51200,256,1,1,1,53.702,181.25,50.149,38.015,196.084,180.183,176.733,156.868,0.0308,22.449,0.0024,178.441,0.0332,33.545
32,1824,1,8192,51200,256,1,1,1,11.452,184.635,36.741,32.584,184.427,184.758,181.25,143.824,0.0688,10.293,0.0024,182.987,0.0711,16.079
32,1856,1,8192,51200,256,1,1,1,14.419,187.62,46.136,38.577,188.38,193.078,180.096,145.476,0.0583,12.415,0.0024,186.361,0.0607,19.354
32,1888,1,8192,51200,256,1,1,1,11.756,183.745,38.434,33.636,190.929,194.893,186.235,147.093,0.0693,10.69,0.0025,190.466,0.0717,16.839
32,1920,1,8192,51200,256,1,1,1,57.057,174.736,52.9,39.837,173.418,175.652,135.221,148.264,0.0326,23.205,0.0032,152.808,0.0358,34.658
32,1952,1,8192,51200,256,1,1,1,12.047,187.389,39.515,34.551,198.537,186.664,190.812,151.238,0.0698,11.077,0.0026,188.715,0.0725,17.562
32,1984,1,8192,51200,256,1,1,1,15.363,184.388,48.535,40.847,195.833,191.859,192.403,151.566,0.059,13.392,0.0027,192.131,0.0617,21.169
32,2016,1,8192,51200,256,1,1,1,12.336,184.668,40.647,35.732,193.842,184.912,176.834,152.234,0.0706,11.432,0.0029,180.783,0.0736,18.214
32,2048,1,8192,51200,256,1,1,1,62.695,189.861,56.294,44.718,202.712,193.157,197.908,154.673,0.0323,25.506,0.0028,195.503,0.0351,39.109
32,2080,1,8192,51200,256,1,1,1,12.365,173.344,40.15,37.86,180.476,184.018,171.557,147.88,0.0729,11.548,0.0032,177.569,0.0761,18.515
32,2112,1,8192,51200,256,1,1,1,16.132,184.68,49.807,43.019,184.829,178.426,188.442,150.152,0.0608,14.131,0.0032,183.297,0.064,22.563
32,2144,1,8192,51200,256,1,1,1,12.62,185.689,41.085,38.636,179.248,187.757,191.174,151.881,0.0735,11.923,0.0032,189.45,0.0767,19.283
32,2176,1,8192,51200,256,1,1,1,35.465,175.151,56.059,44.863,168.794,171.598,118.201,152.228,0.042,21.311,0.0044,139.98,0.0464,32.65
32,2208,1,8192,51200,256,1,1,1,12.878,184.882,42.045,39.883,182.7,179.643,192.047,153.33,0.0743,12.274,0.0034,185.638,0.0778,19.949
32,2240,1,8192,51200,256,1,1,1,17.052,172.944,51.887,45.282,181.845,173.454,175.911,155.394,0.0617,15.083,0.0038,174.674,0.0654,24.266
32,2272,1,8192,51200,256,1,1,1,13.127,182.644,42.145,40.686,192.985,186.623,196.396,156.34,0.0752,12.607,0.0035,191.385,0.0787,20.633
32,2304,1,8192,51200,256,1,1,1,37.351,170.562,55.546,47.235,167.565,168.716,169.743,157.708,0.043,22.486,0.0041,169.228,0.0471,35.299
32,2336,1,8192,51200,256,1,1,1,13.345,187.041,43.144,41.66,179.501,176.933,184.125,146.374,0.0771,12.771,0.004,180.457,0.0811,20.97
