num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,actual_attention_duration,actual_attention_throughput,actual_mlp_duration,actual_mlp_throughput,actual_duration,actual_throughput
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,0.0209,0.336,0.0001,8.306,,
96,96,4,2048,51200,256,1,1,1,0.0202,0.348,0.0001,8.877,0.0168,0.49
96,192,4,2048,51200,256,1,1,1,0.0207,0.74,0.0001,35.034,0.0179,1.127
96,288,4,2048,51200,256,1,1,1,0.0189,1.308,0.0002,57.34,0.0227,1.569
96,384,4,2048,51200,256,1,1,1,0.004,8.866,0.0002,87.249,0.0044,12.475
96,480,4,2048,51200,256,1,1,1,0.0226,2.096,0.0003,101.068,0.022,3.516
96,576,4,2048,51200,256,1,1,1,0.0208,2.898,0.0004,97.591,0.0184,5.641
96,672,4,2048,51200,256,1,1,1,0.0229,3.258,0.0005,113.356,0.0237,5.654
96,768,4,2048,51200,256,1,1,1,0.0042,21.406,0.0006,127.187,0.0051,33.065
96,864,4,2048,51200,256,1,1,1,0.0197,5.43,0.0008,120.297,0.0246,8.315
96,960,4,2048,51200,256,1,1,1,0.0186,6.726,0.001,125.861,0.0227,10.819
96,1056,4,2048,51200,256,1,1,1,0.0237,6.078,0.0011,134.134,0.0252,11.494
96,1152,4,2048,51200,256,1,1,1,0.0049,33.247,0.0013,129.34,0.0067,50.667
96,1248,4,2048,51200,256,1,1,1,0.0206,9.021,0.0014,148.698,0.0259,15.07
96,1344,4,2048,51200,256,1,1,1,0.0217,9.634,0.0017,137.966,0.024,18.562
96,1440,4,2048,51200,256,1,1,1,0.0208,11.185,0.002,138.833,0.0271,18.601
96,1536,4,2048,51200,256,1,1,1,0.0052,49.645,0.002,154.823,0.0077,73.232
96,1632,4,2048,51200,256,1,1,1,0.0222,12.796,0.0023,149.756,0.0296,21.389
96,1728,4,2048,51200,256,1,1,1,0.0237,13.164,0.0027,147.379,0.0228,30.884
96,1824,4,2048,51200,256,1,1,1,0.0225,15.134,0.0029,152.914,0.0305,25.494
96,1920,4,2048,51200,256,1,1,1,0.0062,59.923,0.0039,124.038,0.0107,80.11
96,2016,4,2048,51200,256,1,1,1,0.0229,17.516,0.0036,149.678,0.032,29.208
96,2112,4,2048,51200,256,1,1,1,0.0245,17.712,0.0037,156.774,0.0294,34.665
96,2208,4,2048,51200,256,1,1,1,0.0277,16.866,0.004,160.433,0.033,33.502
96,2304,4,2048,51200,256,1,1,1,0.0056,90.427,0.0049,142.029,0.0136,88.045
96,2400,4,2048,51200,256,1,1,1,0.0288,18.724,0.0049,155.421,0.0349,37.074
96,2496,4,2048,51200,256,1,1,1,0.0256,22.527,0.005,162.461,0.0317,43.988
96,2592,4,2048,51200,256,1,1,1,0.0296,20.735,0.0056,157.663,0.0301,49.727
96,2688,4,2048,51200,256,1,1,1,0.0081,81.163,0.0068,138.498,0.0154,104.003
96,2784,4,2048,51200,256,1,1,1,0.0253,27.455,0.006,167.992,0.0315,54.235
96,2880,4,2048,51200,256,1,1,1,0.0219,33.588,0.0077,140.315,0.0353,51.616
96,2976,4,2048,51200,256,1,1,1,0.0304,25.655,0.0071,163.915,0.0322,60.294
96,3072,4,2048,51200,256,1,1,1,0.0082,100.023,0.0081,152.704,0.0169,122.165
96,3168,4,2048,51200,256,1,1,1,0.0309,28.192,0.0079,165.541,0.0405,53.949
96,3264,4,2048,51200,256,1,1,1,0.0269,34.065,0.0088,159.45,0.037,62.489
96,3360,4,2048,51200,256,1,1,1,0.0332,29.095,0.0075,196.794,0.0427,57.221
96,3456,4,2048,51200,256,1,1,1,0.0103,98.092,0.0097,160.567,0.0211,122.064
96,3552,4,2048,51200,256,1,1,1,0.0268,39.729,0.0106,155.287,0.0446,61.01
96,3648,4,2048,51200,256,1,1,1,0.0281,39.744,0.0103,170.168,0.0401,71.38
96,3744,4,2048,51200,256,1,1,1,0.033,35.418,0.0107,171.782,0.0456,66.008
96,3840,4,2048,51200,256,1,1,1,0.0121,101.545,0.0143,135.143,0.0233,135.321
96,3936,4,2048,51200,256,1,1,1,0.0346,36.986,0.013,156.416,0.0481,68.852
96,4032,4,2048,51200,256,1,1,1,0.0245,54.474,0.0142,149.932,0.0463,74.943
96,4128,4,2048,51200,256,1,1,1,0.0357,38.997,0.0134,166.359,0.0517,70.184
96,4224,4,2048,51200,256,1,1,1,0.0125,116.171,0.0133,176.463,0.0276,137.295
96,4320,4,2048,51200,256,1,1,1,0.0302,50.058,0.0162,151.078,0.0468,84.583
96,4416,4,2048,51200,256,1,1,1,0.0306,51.413,0.0144,177.818,0.0478,86.404
96,4512,4,2048,51200,256,1,1,1,0.0312,52.41,0.0171,156.271,0.0573,75.103
96,4608,4,2048,51200,256,1,1,1,0.0141,120.217,0.0181,154.117,0.0316,141.897
96,4704,4,2048,51200,256,1,1,1,0.039,45.323,0.0166,174.88,0.0603,77.428
96,4800,4,2048,51200,256,1,1,1,0.0264,69.451,0.0192,157.354,0.0474,102.402
96,4896,4,2048,51200,256,1,1,1,0.0401,47.409,0.0184,171.107,0.0648,77.789
96,4992,4,2048,51200,256,1,1,1,0.0155,126.837,0.0195,167.522,0.0367,142.475
96,5088,4,2048,51200,256,1,1,1,0.0417,48.875,0.0193,176.032,0.0655,82.947
96,5184,4,2048,51200,256,1,1,1,0.0336,62.714,0.0202,174.233,0.0529,106.556
96,5280,4,2048,51200,256,1,1,1,0.045,48.493,0.0198,184.964,0.0685,85.176
96,5376,4,2048,51200,256,1,1,1,0.0162,139.487,0.0221,171.265,0.0416,145.155
96,5472,4,2048,51200,256,1,1,1,0.0454,51.301,0.0239,164.109,0.0757,82.591
96,5568,4,2048,51200,256,1,1,1,0.0298,80.731,0.0232,175.075,0.0629,102.837
96,5664,4,2048,51200,256,1,1,1,0.0443,56.101,0.0233,180.469,0.0825,81.075
96,5760,4,2048,51200,256,1,1,1,0.018,142.396,0.03,144.872,0.0539,128.29
96,5856,4,2048,51200,256,1,1,1,0.0457,57.801,0.0252,178.452,0.0682,104.649
96,5952,4,2048,51200,256,1,1,1,0.0375,72.608,0.0264,176.084,0.0617,119.334
96,6048,4,2048,51200,256,1,1,1,0.0468,59.863,0.0347,138.164,0.0846,89.79
96,6144,4,2048,51200,256,1,1,1,0.0173,166.455,0.0313,157.933,0.0578,135.614
96,6240,4,2048,51200,256,1,1,1,0.0423,70.285,0.03,170.146,0.0882,91.501
96,6336,4,2048,51200,256,1,1,1,0.0385,79.443,0.0296,177.735,0.0776,107.186
96,6432,4,2048,51200,256,1,1,1,0.0526,59.801,0.0305,177.555,0.0862,99.349
96,6528,4,2048,51200,256,1,1,1,0.032,100.951,0.0382,146.331,0.0685,128.685
96,6624,4,2048,51200,256,1,1,1,0.0564,58.884,0.0367,156.81,0.0821,110.477
96,6720,4,2048,51200,256,1,1,1,0.0406,83.917,0.038,155.608,0.0765,121.97
96,6816,4,2048,51200,256,1,1,1,0.0557,62.835,0.0414,147.073,0.1011,94.896
96,6912,4,2048,51200,256,1,1,1,0.0243,147.841,0.0362,172.949,0.0702,140.46
96,7008,4,2048,51200,256,1,1,1,0.0531,69.414,0.0353,182.395,0.1104,91.689
96,7104,4,2048,51200,256,1,1,1,0.0388,97.631,0.036,183.748,0.0876,118.642
96,7200,4,2048,51200,256,1,1,1,0.055,70.517,0.0379,179.374,0.1052,101.452
96,7296,4,2048,51200,256,1,1,1,0.0305,130.52,0.039,178.797,0.0734,149.342
96,7392,4,2048,51200,256,1,1,1,0.0564,72.289,0.0394,181.651,0.1112,101.088
96,7488,4,2048,51200,256,1,1,1,0.0488,85.658,0.0455,161.684,0.0993,116.117
96,7584,4,2048,51200,256,1,1,1,0.0521,82.164,0.0414,182.271,0.1152,102.597
96,7680,4,2048,51200,256,1,1,1,0.0384,114.0,0.0561,137.687,0.1104,109.697
96,7776,4,2048,51200,256,1,1,1,0.0656,68.345,0.0448,176.842,0.1121,110.737
96,7872,4,2048,51200,256,1,1,1,0.0457,100.438,0.0443,183.236,0.0963,131.946
96,7968,4,2048,51200,256,1,1,1,0.066,71.117,0.0557,149.407,0.1161,112.146
96,8064,4,2048,51200,256,1,1,1,0.045,106.759,0.0507,168.098,0.0974,136.785
96,8160,4,2048,51200,256,1,1,1,0.071,69.134,0.0628,139.052,0.1376,99.123
96,8256,4,2048,51200,256,1,1,1,0.0477,105.165,0.0494,180.681,0.1121,124.541
96,8352,4,2048,51200,256,1,1,1,0.0656,78.287,0.0575,159.011,0.1287,110.951
96,8448,4,2048,51200,256,1,1,1,0.0364,144.033,0.0574,162.889,0.0966,151.127
96,8544,4,2048,51200,256,1,1,1,0.0677,79.096,0.0528,181.065,0.1411,105.808
96,8640,4,2048,51200,256,1,1,1,0.0572,95.681,0.068,143.873,0.1359,112.233
96,8736,4,2048,51200,256,1,1,1,0.0618,90.467,0.0575,173.86,0.1447,107.725
96,8832,4,2048,51200,256,1,1,1,0.038,150.303,0.0557,183.536,0.1116,142.749
96,8928,4,2048,51200,256,1,1,1,0.0803,72.488,0.0592,176.356,0.1374,118.447
96,9024,4,2048,51200,256,1,1,1,0.0524,113.363,0.0583,183.118,0.1209,137.424
96,9120,4,2048,51200,256,1,1,1,0.0831,72.938,0.0655,166.5,0.1344,126.259
96,9216,4,2048,51200,256,1,1,1,0.0426,145.014,0.0805,138.246,0.126,137.476
96,9312,4,2048,51200,256,1,1,1,0.0668,94.411,0.0713,159.472,0.1627,108.655
96,9408,4,2048,51200,256,1,1,1,0.0514,125.208,0.068,170.596,0.1385,130.167
96,9504,4,2048,51200,256,1,1,1,0.0694,94.509,0.0652,181.671,0.1552,118.558
96,9600,4,2048,51200,256,1,1,1,0.0468,142.813,0.0875,138.017,0.1355,138.438
96,9696,4,2048,51200,256,1,1,1,0.081,84.145,0.0668,184.568,0.146,131.041
96,9792,4,2048,51200,256,1,1,1,0.0716,96.889,0.0963,130.564,0.1496,130.402
96,9888,4,2048,51200,256,1,1,1,0.0714,98.99,0.0704,181.909,0.1634,121.703
96,9984,4,2048,51200,256,1,1,1,0.0441,163.229,0.0778,167.84,0.1405,144.246
96,10080,4,2048,51200,256,1,1,1,0.0831,88.291,0.0792,168.204,0.1611,128.24
96,10176,4,2048,51200,256,1,1,1,0.0608,122.899,0.0745,182.193,0.1573,133.759
96,10272,4,2048,51200,256,1,1,1,0.0868,87.635,0.0856,161.654,0.1483,144.507
96,10368,4,2048,51200,256,1,1,1,0.0527,146.778,0.0791,178.049,0.1483,147.251
96,10464,4,2048,51200,256,1,1,1,0.0689,114.306,0.0871,164.804,0.1921,115.691
96,10560,4,2048,51200,256,1,1,1,0.0714,112.243,0.085,172.022,0.162,139.683
96,10656,4,2048,51200,256,1,1,1,0.0787,103.614,0.082,181.508,0.197,116.973
96,10752,4,2048,51200,256,1,1,1,0.0668,124.185,0.1064,142.397,0.159,147.529
96,10848,4,2048,51200,256,1,1,1,0.0948,89.022,0.0855,180.422,0.1766,135.141
96,10944,4,2048,51200,256,1,1,1,0.0741,115.891,0.0994,157.905,0.1793,135.415
96,11040,4,2048,51200,256,1,1,1,0.0887,98.441,0.096,166.438,0.1859,132.923
96,11136,4,2048,51200,256,1,1,1,0.0545,162.707,0.0908,179.061,0.164,153.259
96,11232,4,2048,51200,256,1,1,1,0.1019,88.51,0.1083,152.713,0.1802,141.822
96,11328,4,2048,51200,256,1,1,1,0.0924,99.254,0.0939,179.066,0.1918,135.528
96,11424,4,2048,51200,256,1,1,1,0.0978,95.268,0.1242,137.725,0.229,115.417
96,11520,4,2048,51200,256,1,1,1,0.0637,148.645,0.1355,128.349,0.2281,117.778
96,11616,4,2048,51200,256,1,1,1,0.0815,118.094,0.1156,153.043,0.2363,115.559
96,11712,4,2048,51200,256,1,1,1,0.0712,137.277,0.1089,165.173,0.2069,134.15
96,11808,4,2048,51200,256,1,1,1,0.0955,103.933,0.1057,172.858,0.236,119.494
96,11904,4,2048,51200,256,1,1,1,0.0684,147.494,0.116,160.133,0.1846,155.276
96,12000,4,2048,51200,256,1,1,1,0.1122,91.294,0.11,171.52,0.2127,136.876
96,12096,4,2048,51200,256,1,1,1,0.1028,101.167,0.1289,148.824,0.1974,149.846
96,12192,4,2048,51200,256,1,1,1,0.0991,106.562,0.1149,169.625,0.2408,124.764
96,12288,4,2048,51200,256,1,1,1,0.0607,176.592,0.1219,162.407,0.1951,156.414
96,12384,4,2048,51200,256,1,1,1,0.1061,102.552,0.1206,166.718,0.2316,133.759
96,12480,4,2048,51200,256,1,1,1,0.0894,123.487,0.1322,154.453,0.2268,138.703
96,12576,4,2048,51200,256,1,1,1,0.1227,91.329,0.1379,150.365,0.2268,140.838
96,12672,4,2048,51200,256,1,1,1,0.0828,137.448,0.136,154.738,0.2228,145.504
96,12768,4,2048,51200,256,1,1,1,0.1069,107.996,0.1352,158.015,0.2728,120.614
96,12864,4,2048,51200,256,1,1,1,0.0971,120.546,0.1318,164.537,0.2286,146.082
96,12960,4,2048,51200,256,1,1,1,0.1127,105.38,0.133,165.498,0.2698,125.621
96,13056,4,2048,51200,256,1,1,1,0.1006,119.748,0.1864,119.886,0.2743,125.381
