num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
40,40,4,2048,51200,256,1,1,1,0.312,1.719,0.99,0.935,0.411,2.218,2.192,27.606,0.0127,0.219,0.0001,2.205,0.0128,0.234
40,80,4,2048,51200,256,1,1,1,0.787,6.739,2.349,1.885,1.661,8.978,6.374,58.672,0.0106,0.544,0.0001,7.455,0.0108,0.616
40,120,4,2048,51200,256,1,1,1,1.011,12.195,2.905,2.297,2.304,17.58,12.746,85.456,0.0124,0.723,0.0001,14.778,0.0126,0.866
40,160,4,2048,51200,256,1,1,1,4.116,26.887,4.583,3.73,8.871,34.408,35.696,102.975,0.0066,1.876,0.0001,35.04,0.0067,2.349
40,200,4,2048,51200,256,1,1,1,1.666,39.385,4.778,4.511,14.003,52.262,31.074,,,,,,,
40,40,4,2048,51200,256,1,1,1,0.302,1.716,0.989,0.939,0.526,2.087,2.027,27.613,0.013,0.215,0.0001,2.057,0.0131,0.229
40,80,4,2048,51200,256,1,1,1,0.769,6.499,1.713,1.885,2.149,8.349,8.231,58.672,0.0112,0.516,0.0001,8.289,0.0113,0.586
40,120,4,2048,51200,256,1,1,1,0.992,14.648,2.661,2.733,4.815,19.057,18.935,85.383,0.0124,0.727,0.0001,18.996,0.0125,0.872
40,160,4,2048,51200,256,1,1,1,4.108,25.206,4.577,3.731,8.382,26.681,34.692,103.165,0.0066,1.873,0.0001,30.164,0.0067,2.341
40,200,4,2048,51200,256,1,1,1,1.64,38.52,4.752,3.655,13.342,44.949,53.806,124.582,0.0129,1.246,0.0001,48.981,0.013,1.639
40,240,4,2048,51200,256,1,1,1,2.297,54.03,6.699,5.491,19.96,68.935,62.664,145.69,0.0112,1.781,0.0001,65.65,0.0113,2.433
40,280,4,2048,51200,256,1,1,1,2.286,60.287,6.645,6.261,26.257,73.4,77.287,92.641,0.0138,1.736,0.0001,75.293,0.0139,2.457
40,320,4,2048,51200,256,1,1,1,8.17,78.939,8.905,7.352,35.515,94.466,59.684,126.254,0.0075,3.742,0.0002,73.151,0.0077,5.393
40,360,4,2048,51200,256,1,1,1,2.747,79.309,8.455,7.952,45.14,91.841,104.858,138.221,0.0141,2.323,0.0002,97.919,0.0142,3.489
40,400,4,2048,51200,256,1,1,1,3.06,94.251,7.816,9.036,41.983,113.877,125.849,148.652,0.0144,2.596,0.0002,119.564,0.0146,4.006
40,440,4,2048,51200,256,1,1,1,3.547,89.2,8.407,9.677,62.146,120.24,138.573,159.805,0.0141,2.999,0.0002,128.758,0.0143,4.736
40,480,4,2048,51200,256,1,1,1,12.114,122.561,13.043,10.886,79.572,130.981,122.283,159.26,0.008,5.883,0.0002,126.483,0.0083,9.361
40,520,4,2048,51200,256,1,1,1,4.173,98.86,13.761,10.765,45.541,111.396,119.381,123.765,0.015,3.506,0.0003,115.251,0.0153,5.75
40,560,4,2048,51200,256,1,1,1,5.3,132.241,14.935,12.601,62.506,131.34,123.303,116.677,0.0141,4.133,0.0003,127.195,0.0144,6.897
40,600,4,2048,51200,256,1,1,1,4.804,107.974,15.703,13.002,70.688,129.917,132.694,118.869,0.0157,4.069,0.0004,131.291,0.0161,6.917
40,640,4,2048,51200,256,1,1,1,13.166,136.4,12.315,14.536,94.68,162.413,150.84,130.671,0.0108,6.456,0.0003,156.413,0.0112,11.071
40,680,4,2048,51200,256,1,1,1,4.025,97.965,11.859,11.042,82.961,129.305,156.302,138.67,0.0198,3.842,0.0004,141.527,0.0202,6.762
40,720,4,2048,51200,256,1,1,1,5.751,138.571,15.343,12.741,101.889,149.349,156.36,142.986,0.0164,5.029,0.0004,152.774,0.0168,8.938
40,760,4,2048,51200,256,1,1,1,4.522,97.843,13.552,12.275,95.551,139.434,172.69,146.053,0.02,4.445,0.0005,154.29,0.0205,8.035
40,800,4,2048,51200,256,1,1,1,19.837,165.425,19.314,11.998,107.612,169.645,151.682,120.807,0.0122,7.854,0.0005,160.161,0.0127,14.135
40,840,4,2048,51200,256,1,1,1,6.176,101.801,20.569,12.996,84.016,108.959,127.53,128.208,0.0186,5.505,0.0008,117.515,0.0194,10.042
40,880,4,2048,51200,256,1,1,1,7.643,147.601,22.103,15.34,123.856,149.18,180.378,141.429,0.0166,6.628,0.0006,163.302,0.0172,12.294
40,920,4,2048,51200,256,1,1,1,6.762,132.004,21.951,14.471,111.224,144.437,182.803,136.39,0.0188,6.245,0.0007,161.371,0.0195,11.727
40,960,4,2048,51200,256,1,1,1,18.91,145.411,17.996,16.622,145.973,195.185,124.225,137.383,0.0134,9.307,0.0008,151.822,0.0142,17.288
40,1000,4,2048,51200,256,1,1,1,5.785,109.646,17.472,14.927,129.089,147.113,198.907,139.998,0.0223,5.939,0.0008,169.134,0.0231,11.411
40,1040,4,2048,51200,256,1,1,1,6.102,147.905,18.564,18.207,130.339,162.205,158.605,134.659,0.0222,6.334,0.0009,160.385,0.0231,12.231
40,1080,4,2048,51200,256,1,1,1,7.678,87.161,15.729,16.105,115.568,151.177,175.485,138.77,0.0213,6.977,0.0009,162.427,0.0223,13.542
40,1120,4,2048,51200,256,1,1,1,27.033,183.348,26.014,19.113,136.541,149.09,171.496,140.563,0.0134,11.777,0.001,159.51,0.0144,22.357
40,1160,4,2048,51200,256,1,1,1,8.247,131.782,27.27,13.394,92.678,111.429,155.53,144.676,0.0212,7.818,0.0014,129.837,0.0226,15.153
40,1200,4,2048,51200,256,1,1,1,10.213,160.409,29.213,20.567,109.126,132.828,161.408,147.224,0.0187,9.345,0.0013,145.73,0.02,18.172
40,1240,4,2048,51200,256,1,1,1,8.738,145.866,29.004,17.189,73.558,94.907,184.058,149.36,0.0212,8.677,0.0016,125.237,0.0228,16.9
40,1280,4,2048,51200,256,1,1,1,30.567,190.164,32.218,22.269,174.354,180.826,185.448,152.512,0.0137,14.118,0.0012,183.107,0.0149,27.453
40,1320,4,2048,51200,256,1,1,1,9.198,133.658,29.123,22.159,116.009,143.642,167.572,126.22,0.0228,8.89,0.0015,154.687,0.0243,17.753
40,1360,4,2048,51200,256,1,1,1,9.417,156.582,31.329,24.501,117.987,157.382,173.274,111.114,0.0241,8.811,0.0015,164.946,0.0256,17.78
40,1400,4,2048,51200,256,1,1,1,7.882,113.778,22.713,23.424,135.131,144.88,173.741,137.893,0.0256,8.689,0.0016,158.004,0.0272,17.608
40,1440,4,2048,51200,256,1,1,1,32.615,119.134,18.357,24.634,174.655,175.948,164.906,139.543,0.0173,13.47,0.0016,170.248,0.0189,26.741
40,1480,4,2048,51200,256,1,1,1,6.647,92.845,32.452,24.641,151.731,141.523,193.11,141.566,0.0287,8.476,0.0018,163.34,0.0304,17.427
40,1520,4,2048,51200,256,1,1,1,12.818,155.282,34.782,27.028,145.86,161.381,186.489,144.409,0.0211,11.992,0.0018,173.029,0.0229,24.309
40,1560,4,2048,51200,256,1,1,1,10.463,140.428,33.755,20.308,100.515,117.323,174.259,144.797,0.0244,10.818,0.0023,140.232,0.0267,21.845
40,1600,4,2048,51200,256,1,1,1,37.205,186.635,38.428,20.314,175.435,123.239,177.702,146.17,0.017,16.165,0.0023,145.542,0.0193,31.598
40,1640,4,2048,51200,256,1,1,1,10.818,135.595,35.416,17.101,140.071,110.775,185.676,148.392,0.0255,11.226,0.0025,138.763,0.028,22.778
40,1680,4,2048,51200,256,1,1,1,14.111,156.718,38.239,29.778,169.063,158.505,132.568,148.385,0.022,13.524,0.0026,144.381,0.0246,27.167
40,1720,4,2048,51200,256,1,1,1,11.297,135.792,36.75,27.643,139.171,138.84,185.767,151.201,0.0248,12.453,0.0024,158.912,0.0273,25.555
40,1760,4,2048,51200,256,1,1,1,37.65,193.342,41.284,30.018,197.383,197.583,202.196,153.875,0.0172,18.698,0.002,199.862,0.0192,37.86
40,1800,4,2048,51200,256,1,1,1,11.666,137.819,38.092,28.883,133.404,136.211,173.2,141.071,0.0263,12.672,0.0028,152.495,0.0291,26.065
40,1840,4,2048,51200,256,1,1,1,12.746,143.007,41.676,32.428,146.234,137.601,182.136,118.594,0.0276,12.499,0.0028,156.767,0.0305,25.905
40,1880,4,2048,51200,256,1,1,1,9.685,114.905,40.082,29.991,141.321,148.775,175.048,142.977,0.0297,12.065,0.0029,160.846,0.0325,25.235
40,1920,4,2048,51200,256,1,1,1,33.473,132.046,43.774,32.915,171.235,178.344,133.473,145.569,0.0201,18.46,0.0032,152.68,0.0232,36.743
40,1960,4,2048,51200,256,1,1,1,12.319,105.818,23.194,30.579,149.05,141.44,186.171,146.624,0.0291,13.179,0.0031,160.752,0.0322,27.527
40,2000,4,2048,51200,256,1,1,1,16.5,155.751,25.194,28.426,170.756,170.698,191.463,147.599,0.0262,15.145,0.0029,180.485,0.0291,31.663
40,2040,4,2048,51200,256,1,1,1,12.641,140.941,36.753,23.97,127.303,131.244,159.992,151.683,0.0288,14.215,0.0038,144.199,0.0326,29.298
40,2080,4,2048,51200,256,1,1,1,45.508,166.31,46.195,25.458,169.222,131.86,171.523,147.271,0.0209,20.279,0.0038,149.099,0.0247,40.14
40,2120,4,2048,51200,256,1,1,1,13.024,141.597,26.174,33.014,133.389,145.093,133.685,148.908,0.0299,14.633,0.0042,139.156,0.0341,30.099
40,2160,4,2048,51200,256,1,1,1,17.763,157.736,46.257,37.614,150.688,164.062,119.634,150.83,0.0256,17.587,0.0044,138.369,0.03,35.352
40,2200,4,2048,51200,256,1,1,1,13.334,138.699,38.317,32.491,137.034,143.548,185.139,152.329,0.0297,15.662,0.0039,161.712,0.0336,32.712
40,2240,4,2048,51200,256,1,1,1,38.015,170.345,48.515,38.324,174.897,165.519,165.923,132.723,0.0235,20.355,0.004,165.721,0.0275,41.326
40,2280,4,2048,51200,256,1,1,1,11.187,128.424,29.733,34.365,139.807,133.807,190.351,154.489,0.0335,14.757,0.0043,157.147,0.0378,31.093
40,2320,4,2048,51200,256,1,1,1,13.433,120.078,42.393,40.19,152.19,156.568,180.589,145.092,0.0316,16.11,0.0042,167.723,0.0358,33.941
40,2360,4,2048,51200,256,1,1,1,10.006,132.524,31.062,35.312,135.045,132.164,183.902,146.422,0.0369,14.191,0.0047,153.798,0.0416,30.109
40,2400,4,2048,51200,256,1,1,1,48.35,176.885,28.23,33.479,169.21,175.54,178.087,136.425,0.0255,21.116,0.0043,176.804,0.0298,43.443
40,2440,4,2048,51200,256,1,1,1,14.225,133.123,41.649,28.202,118.811,130.029,153.537,148.647,0.0332,16.7,0.0055,140.809,0.0387,34.467
40,2480,4,2048,51200,256,1,1,1,20.105,160.804,52.437,28.711,135.296,116.531,184.055,150.62,0.0292,19.503,0.0056,142.709,0.0348,39.474
40,2520,4,2048,51200,256,1,1,1,15.266,145.98,43.286,24.643,129.946,133.142,170.111,152.032,0.0333,17.573,0.0056,149.373,0.0389,36.464
40,2560,4,2048,51200,256,1,1,1,63.99,168.298,56.622,44.299,189.976,157.808,169.944,153.443,0.0226,26.588,0.0052,163.651,0.0279,52.407
40,2600,4,2048,51200,256,1,1,1,14.721,129.76,41.512,39.765,134.792,136.05,164.862,148.316,0.0342,18.037,0.0059,149.077,0.0402,37.421
40,2640,4,2048,51200,256,1,1,1,18.118,136.1,45.769,45.464,153.895,142.938,148.214,126.726,0.0344,18.43,0.0063,145.528,0.0407,38.045
40,2680,4,2048,51200,256,1,1,1,13.19,120.912,42.622,38.328,136.706,112.104,168.746,128.274,0.0394,16.512,0.007,134.713,0.0464,34.32
40,2720,4,2048,51200,256,1,1,1,30.392,179.649,44.076,49.079,181.037,160.317,160.037,151.813,0.0277,24.129,0.0061,160.177,0.0337,48.559
40,2760,4,2048,51200,256,1,1,1,10.998,109.704,33.037,41.826,142.506,129.841,164.023,152.694,0.0413,16.568,0.0069,144.944,0.0482,34.916
40,2800,4,2048,51200,256,1,1,1,15.029,116.347,31.999,37.095,160.355,148.503,165.585,150.884,0.0377,18.637,0.0066,156.579,0.0442,39.112
40,2840,4,2048,51200,256,1,1,1,15.409,130.035,40.619,41.994,109.154,128.99,158.754,135.702,0.0388,18.536,0.0074,142.333,0.0462,38.427
40,2880,4,2048,51200,256,1,1,1,32.249,161.171,59.049,51.624,158.808,162.722,126.082,146.373,0.0294,25.07,0.0077,142.078,0.037,49.239
40,2920,4,2048,51200,256,1,1,1,15.576,109.023,44.164,27.273,110.726,133.833,165.527,147.905,0.0401,18.841,0.0076,148.002,0.0476,39.326
40,2960,4,2048,51200,256,1,1,1,23.337,134.777,59.005,49.459,108.108,120.586,139.471,149.88,0.0333,23.213,0.0089,129.342,0.0422,45.557
40,3000,4,2048,51200,256,1,1,1,15.861,127.266,40.327,43.77,143.764,130.751,138.185,149.521,0.0388,20.379,0.0088,134.365,0.0476,41.402
40,3040,4,2048,51200,256,1,1,1,33.473,160.444,61.105,51.342,165.567,157.94,165.092,151.878,0.0303,26.733,0.0075,161.437,0.0378,53.478
40,3080,4,2048,51200,256,1,1,1,15.016,130.89,46.348,41.902,136.477,129.552,139.204,124.768,0.0439,18.883,0.0093,134.205,0.0531,38.991
40,3120,4,2048,51200,256,1,1,1,20.09,126.059,43.422,52.904,155.132,143.736,150.791,128.768,0.04,21.204,0.0087,147.179,0.0486,43.661
40,3160,4,2048,51200,256,1,1,1,13.732,131.218,37.335,46.314,139.375,128.476,155.689,151.091,0.043,20.136,0.0093,140.779,0.0523,41.571
40,3200,4,2048,51200,256,1,1,1,29.193,140.682,37.615,56.913,184.763,160.871,157.868,150.714,0.0344,25.756,0.0084,159.355,0.0428,52.036
40,3240,4,2048,51200,256,1,1,1,12.367,107.197,46.905,32.044,140.462,130.213,158.66,144.617,0.0481,18.814,0.0096,143.036,0.0577,39.508
40,3280,4,2048,51200,256,1,1,1,25.487,146.217,31.935,42.668,134.271,143.541,159.395,141.643,0.039,23.712,0.0093,151.053,0.0484,48.298
40,3320,4,2048,51200,256,1,1,1,16.647,130.758,46.294,46.069,130.041,133.761,152.186,153.253,0.0419,22.551,0.0101,142.38,0.0521,45.906
40,3360,4,2048,51200,256,1,1,1,32.049,155.499,42.33,51.673,126.111,134.147,134.737,148.355,0.0359,26.879,0.011,134.442,0.0469,52.11
40,3400,4,2048,51200,256,1,1,1,16.294,129.984,48.741,29.961,102.744,105.981,159.0,149.21,0.0455,21.674,0.0119,127.186,0.0574,43.575
40,3440,4,2048,51200,256,1,1,1,26.569,136.945,63.335,57.364,163.024,142.913,136.754,149.885,0.0372,27.044,0.0111,139.766,0.0483,52.938
40,3480,4,2048,51200,256,1,1,1,17.06,128.548,48.962,31.975,144.345,128.115,158.256,151.201,0.045,22.807,0.0112,141.599,0.0562,46.482
40,3520,4,2048,51200,256,1,1,1,37.902,157.808,52.098,60.209,190.557,157.518,157.071,130.315,0.038,27.553,0.0103,157.294,0.0484,55.247
40,3560,4,2048,51200,256,1,1,1,15.196,119.993,49.591,49.407,146.15,129.578,160.419,131.881,0.0498,21.474,0.0116,143.359,0.0614,44.479
40,3600,4,2048,51200,256,1,1,1,19.857,144.012,52.199,59.325,155.276,143.347,153.186,145.565,0.0431,25.339,0.0115,148.103,0.0545,51.164
40,3640,4,2048,51200,256,1,1,1,13.158,108.972,51.078,49.678,143.069,131.79,156.506,147.837,0.0516,21.578,0.0121,143.088,0.0637,44.729
40,3680,4,2048,51200,256,1,1,1,38.537,138.816,42.523,50.237,175.476,151.657,160.172,141.014,0.0397,28.561,0.0114,155.798,0.0511,56.921
40,3720,4,2048,51200,256,1,1,1,17.565,129.179,51.204,50.617,152.947,129.718,158.667,141.98,0.0478,24.174,0.0127,142.74,0.0606,49.057
40,3760,4,2048,51200,256,1,1,1,21.079,145.106,68.824,40.275,122.382,144.751,161.903,150.332,0.0446,26.432,0.0121,152.847,0.0567,53.451
40,3800,4,2048,51200,256,1,1,1,14.489,131.192,35.699,34.316,117.817,109.971,161.222,151.615,0.0533,22.527,0.0145,130.754,0.0678,45.631
40,3840,4,2048,51200,256,1,1,1,45.291,122.048,76.784,68.995,161.652,109.175,98.162,151.452,0.0379,32.265,0.0187,103.376,0.0566,55.741
40,3880,4,2048,51200,256,1,1,1,21.03,127.386,49.297,34.887,131.738,128.576,134.716,150.281,0.0481,25.929,0.015,131.574,0.0631,51.041
40,3920,4,2048,51200,256,1,1,1,29.296,145.239,69.218,63.002,123.442,144.342,154.925,129.16,0.0457,27.813,0.0135,149.447,0.0591,55.529
40,3960,4,2048,51200,256,1,1,1,18.389,116.841,38.231,55.469,148.754,131.33,156.557,129.242,0.0543,23.799,0.0144,142.838,0.0687,48.719
40,4000,4,2048,51200,256,1,1,1,34.267,162.008,54.444,66.115,197.582,158.949,154.362,152.724,0.0405,32.534,0.0134,156.622,0.0539,63.377
40,4040,4,2048,51200,256,1,1,1,15.634,127.685,41.313,55.359,130.136,128.969,158.222,150.88,0.0539,24.889,0.0151,142.106,0.0689,50.491
40,4080,4,2048,51200,256,1,1,1,30.515,123.029,40.718,67.28,125.786,146.335,156.122,136.152,0.0483,28.24,0.0144,151.07,0.0628,56.503
40,4120,4,2048,51200,256,1,1,1,21.761,104.091,34.649,47.133,138.76,131.551,152.922,142.626,0.0539,25.778,0.0157,141.434,0.0696,51.914
40,4160,4,2048,51200,256,1,1,1,42.758,131.407,77.617,42.595,127.998,130.279,144.369,149.831,0.0436,32.428,0.0166,136.962,0.0601,61.212
40,4200,4,2048,51200,256,1,1,1,17.371,102.996,52.145,35.927,108.978,109.631,153.496,149.872,0.0574,25.038,0.0181,127.907,0.0755,49.665
40,4240,4,2048,51200,256,1,1,1,31.154,145.239,48.452,69.787,172.305,144.836,135.463,142.654,0.0468,31.232,0.0168,139.993,0.0637,59.986
40,4280,4,2048,51200,256,1,1,1,22.237,123.659,52.01,40.211,153.978,131.448,136.141,151.772,0.0521,28.536,0.018,133.753,0.0701,55.485
40,4320,4,2048,51200,256,1,1,1,41.714,157.998,79.155,65.489,193.136,148.245,117.557,128.773,0.0465,32.519,0.0187,131.129,0.0652,60.741
40,4360,4,2048,51200,256,1,1,1,17.698,127.088,52.021,54.995,138.833,115.441,135.477,127.324,0.0603,25.502,0.02,124.659,0.0803,50.179
40,4400,4,2048,51200,256,1,1,1,28.47,144.624,75.07,71.831,155.259,144.402,151.629,151.678,0.0474,33.031,0.0172,147.927,0.0645,63.586
40,4440,4,2048,51200,256,1,1,1,16.81,129.33,43.385,60.637,133.833,130.765,140.569,151.523,0.0581,27.364,0.0191,135.49,0.0772,54.084
40,4480,4,2048,51200,256,1,1,1,37.298,132.808,81.645,73.481,139.613,156.919,147.513,142.49,0.0481,33.592,0.0173,152.071,0.0654,64.929
40,4520,4,2048,51200,256,1,1,1,22.722,103.825,34.45,44.845,126.787,130.67,157.778,148.386,0.059,27.835,0.0187,142.95,0.0777,55.577
40,4560,4,2048,51200,256,1,1,1,33.213,145.37,44.212,48.173,170.536,146.013,149.292,153.475,0.0498,33.507,0.0185,147.634,0.0683,64.371
40,4600,4,2048,51200,256,1,1,1,22.654,110.482,51.185,38.168,110.662,114.565,146.758,154.489,0.0582,29.126,0.0216,128.678,0.0798,56.027
40,4640,4,2048,51200,256,1,1,1,40.443,157.765,48.844,73.745,136.857,143.083,155.637,150.373,0.0482,35.757,0.0189,149.096,0.0671,67.73
40,4680,4,2048,51200,256,1,1,1,23.319,129.78,36.519,40.134,147.374,132.055,133.931,149.718,0.0586,29.837,0.0216,132.987,0.0802,57.594
40,4720,4,2048,51200,256,1,1,1,34.274,145.012,76.234,50.371,163.84,121.187,154.541,151.245,0.0504,35.239,0.0215,135.846,0.0719,65.31
40,4760,4,2048,51200,256,1,1,1,18.737,131.342,51.548,62.9,125.266,130.372,153.725,129.582,0.0649,27.783,0.021,141.089,0.086,55.518
40,4800,4,2048,51200,256,1,1,1,44.742,144.288,84.914,76.194,178.326,156.848,142.014,131.084,0.0519,35.305,0.0203,149.063,0.0722,67.246
40,4840,4,2048,51200,256,1,1,1,23.668,130.999,54.255,63.119,137.108,131.06,148.821,152.765,0.0575,32.373,0.022,139.377,0.0795,62.03
40,4880,4,2048,51200,256,1,1,1,25.098,122.942,77.332,76.937,137.805,145.832,147.715,135.143,0.0599,31.503,0.0213,146.768,0.0812,61.691
40,4920,4,2048,51200,256,1,1,1,17.902,107.34,38.355,63.521,112.281,130.625,153.705,144.594,0.0685,27.976,0.0225,141.228,0.091,55.944
40,4960,4,2048,51200,256,1,1,1,48.063,158.228,46.702,47.716,187.298,158.027,153.622,141.886,0.0531,36.635,0.0207,155.793,0.0738,70.056
40,5000,4,2048,51200,256,1,1,1,18.581,130.531,54.675,39.329,108.363,131.305,147.507,153.347,0.0659,29.936,0.0236,138.935,0.0895,58.652
40,5040,4,2048,51200,256,1,1,1,28.091,134.17,48.799,78.665,118.048,120.507,151.335,154.73,0.0578,34.646,0.0248,134.173,0.0826,64.537
40,5080,4,2048,51200,256,1,1,1,22.893,129.616,38.699,65.16,139.63,109.304,155.735,155.465,0.0621,32.704,0.0263,128.453,0.0885,61.203
40,5120,4,2048,51200,256,1,1,1,57.117,154.583,91.895,85.677,124.661,156.867,127.093,156.003,0.0492,41.9,0.0245,140.419,0.0737,74.622
40,5160,4,2048,51200,256,1,1,1,23.412,127.764,51.417,50.818,119.578,129.913,131.782,150.077,0.0643,32.524,0.0267,130.841,0.091,61.35
40,5200,4,2048,51200,256,1,1,1,27.819,145.795,81.184,68.798,143.621,144.451,131.872,129.05,0.0632,33.544,0.0257,137.875,0.0889,63.699
40,5240,4,2048,51200,256,1,1,1,20.771,129.839,51.851,33.872,141.604,132.297,145.052,129.116,0.0731,29.416,0.026,138.381,0.0991,58.002
40,5280,4,2048,51200,256,1,1,1,29.928,156.854,57.766,87.483,167.113,156.761,134.11,152.116,0.0575,37.925,0.0253,144.554,0.0828,70.479
40,5320,4,2048,51200,256,1,1,1,17.742,130.833,54.25,52.245,131.948,128.449,150.171,153.166,0.0701,31.547,0.0268,138.463,0.0969,61.106
40,5360,4,2048,51200,256,1,1,1,26.464,119.994,83.791,68.807,136.151,146.404,157.442,148.801,0.0638,35.152,0.0248,151.722,0.0886,67.801
40,5400,4,2048,51200,256,1,1,1,23.735,106.561,39.125,39.486,131.104,121.71,153.468,149.247,0.0719,31.604,0.0282,135.756,0.1001,60.902
40,5440,4,2048,51200,256,1,1,1,34.801,156.432,49.511,88.539,165.527,158.009,138.227,147.1,0.0595,38.739,0.0263,147.457,0.0858,72.073
40,5480,4,2048,51200,256,1,1,1,23.856,129.375,52.641,36.466,109.11,133.192,136.644,144.218,0.0717,32.558,0.0292,134.896,0.1009,62.146
40,5520,4,2048,51200,256,1,1,1,37.409,122.816,85.182,47.267,120.915,123.719,154.457,153.789,0.0624,37.921,0.0291,137.39,0.0915,69.523
40,5560,4,2048,51200,256,1,1,1,23.844,129.769,53.891,53.893,130.723,110.499,158.037,154.483,0.0683,35.101,0.0312,130.06,0.0995,64.833
40,5600,4,2048,51200,256,1,1,1,35.337,142.511,61.061,59.842,163.957,157.993,136.968,153.965,0.0613,39.649,0.028,146.731,0.0893,73.231
40,5640,4,2048,51200,256,1,1,1,24.05,130.287,55.3,39.356,128.887,112.424,151.426,150.749,0.0714,34.5,0.0323,129.042,0.1037,63.954
40,5680,4,2048,51200,256,1,1,1,38.18,146.212,86.205,48.866,123.354,122.741,153.868,150.93,0.0628,39.741,0.031,136.553,0.0938,71.716
40,5720,4,2048,51200,256,1,1,1,20.663,129.628,52.518,51.362,129.082,117.128,133.433,130.033,0.0794,31.829,0.0344,124.75,0.1138,59.897
40,5760,4,2048,51200,256,1,1,1,29.916,126.142,95.839,96.146,142.511,145.451,116.534,131.562,0.0704,36.367,0.0336,129.397,0.104,66.422
