num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
24,24,4,2048,51200,256,1,1,1,0.314,0.605,0.975,0.924,0.198,0.797,0.764,17.96,0.008,0.205,0.0001,0.78,0.0081,0.212
24,48,4,2048,51200,256,1,1,1,0.828,2.416,2.316,1.834,0.77,3.224,3.079,32.963,0.0068,0.497,0.0001,3.15,0.0069,0.534
24,72,4,2048,51200,256,1,1,1,1.072,5.463,2.908,2.669,1.834,7.259,5.169,53.601,0.0075,0.693,0.0001,6.039,0.0076,0.772
24,96,4,2048,51200,256,1,1,1,4.135,9.524,4.563,3.634,3.218,12.928,12.625,69.661,0.0044,1.601,0.0001,12.775,0.0045,1.836
24,120,4,2048,51200,256,1,1,1,1.731,14.87,4.798,4.431,5.033,20.551,19.76,85.671,0.0077,1.173,0.0001,20.148,0.0078,1.402
24,144,4,2048,51200,256,1,1,1,2.449,22.157,6.687,5.418,7.216,28.383,29.646,91.123,0.007,1.579,0.0001,29.0,0.0071,1.943
24,168,4,2048,51200,256,1,1,1,1.943,29.047,6.687,6.126,7.275,38.729,24.16,,,,,,,
24,24,4,2048,51200,256,1,1,1,0.313,0.569,0.975,0.892,0.13,0.563,0.551,17.965,0.0081,0.203,0.0001,0.557,0.0083,0.209
24,48,4,2048,51200,256,1,1,1,0.824,2.226,2.31,1.826,0.724,3.034,2.958,33.042,0.0068,0.495,0.0001,2.996,0.0069,0.532
24,72,4,2048,51200,256,1,1,1,1.026,3.969,2.9,2.683,1.362,6.877,6.479,53.741,0.0077,0.672,0.0001,6.672,0.0078,0.751
24,96,4,2048,51200,256,1,1,1,4.122,8.875,4.546,3.642,3.005,11.993,11.633,70.136,0.0044,1.599,0.0001,11.81,0.0045,1.831
24,120,4,2048,51200,256,1,1,1,1.694,14.077,4.77,4.41,4.608,18.935,18.065,85.978,0.0078,1.156,0.0001,18.49,0.0079,1.38
24,144,4,2048,51200,256,1,1,1,2.338,20.417,6.663,5.386,6.757,26.625,27.332,92.222,0.0072,1.538,0.0001,26.974,0.0073,1.891
24,168,4,2048,51200,256,1,1,1,2.366,27.287,6.659,6.129,9.219,35.986,37.232,94.776,0.0081,1.616,0.0001,36.598,0.0082,2.046
24,192,4,2048,51200,256,1,1,1,6.86,35.98,8.841,7.174,12.438,48.203,48.088,121.026,0.0049,3.101,0.0001,48.145,0.005,3.998
24,216,4,2048,51200,256,1,1,1,3.017,42.279,9.744,7.777,11.944,56.707,60.001,133.845,0.008,2.207,0.0001,58.308,0.0081,2.938
24,240,4,2048,51200,256,1,1,1,3.854,51.739,10.589,8.848,18.981,69.699,57.579,145.526,0.0073,2.709,0.0001,63.062,0.0075,3.678
24,264,4,2048,51200,256,1,1,1,3.628,56.642,11.775,9.381,21.759,66.389,69.039,112.35,0.0087,2.572,0.0001,67.688,0.0088,3.571
24,288,4,2048,51200,256,1,1,1,12.103,60.885,12.955,10.58,20.578,74.382,69.123,115.78,0.0055,4.522,0.0002,71.656,0.0056,6.332
24,312,4,2048,51200,256,1,1,1,4.257,71.455,13.735,11.046,19.123,73.16,90.618,125.764,0.0089,3.083,0.0002,80.959,0.009,4.444
24,336,4,2048,51200,256,1,1,1,5.326,84.077,14.812,12.187,24.649,82.834,80.004,132.047,0.0082,3.654,0.0002,81.394,0.0084,5.341
24,360,4,2048,51200,256,1,1,1,4.868,70.341,15.689,10.648,40.771,97.492,106.381,139.59,0.0092,3.56,0.0002,101.743,0.0093,5.315
24,384,4,2048,51200,256,1,1,1,16.061,98.208,16.445,14.159,48.088,109.466,104.631,124.157,0.006,5.889,0.0002,106.994,0.0062,8.836
24,408,4,2048,51200,256,1,1,1,5.517,91.155,16.9,10.702,39.85,110.33,120.893,151.018,0.0095,4.04,0.0002,115.37,0.0097,6.219
24,432,4,2048,51200,256,1,1,1,5.297,96.112,13.673,12.435,44.211,126.141,127.296,157.994,0.0102,4.058,0.0002,126.716,0.0104,6.346
24,456,4,2048,51200,256,1,1,1,5.702,90.8,18.238,11.847,31.096,89.771,128.317,165.35,0.01,4.408,0.0003,105.638,0.0103,6.946
24,480,4,2048,51200,256,1,1,1,19.89,122.191,19.13,12.422,73.728,115.193,129.676,174.402,0.0062,7.618,0.0002,122.006,0.0065,12.002
24,504,4,2048,51200,256,1,1,1,6.245,109.868,20.595,12.961,62.191,105.629,112.878,173.052,0.0102,4.965,0.0003,109.133,0.0105,8.0
24,528,4,2048,51200,256,1,1,1,7.664,116.918,21.378,15.109,54.532,99.447,120.772,127.457,0.0103,5.214,0.0003,109.077,0.0106,8.485
24,552,4,2048,51200,256,1,1,1,6.819,120.315,22.466,14.341,62.78,122.21,125.56,128.222,0.0114,5.017,0.0003,123.862,0.0117,8.296
24,576,4,2048,51200,256,1,1,1,19.257,123.392,22.668,16.42,81.326,138.0,132.194,133.597,0.0079,7.691,0.0003,135.035,0.0082,12.708
24,600,4,2048,51200,256,1,1,1,6.412,72.555,24.276,14.535,70.15,137.36,144.565,137.661,0.0125,5.118,0.0003,140.87,0.0128,8.666
24,624,4,2048,51200,256,1,1,1,9.013,131.845,25.881,15.74,82.084,138.265,141.767,138.502,0.0108,6.247,0.0004,139.994,0.0112,10.62
24,648,4,2048,51200,256,1,1,1,7.787,123.974,25.513,15.457,53.714,110.695,152.139,138.584,0.0121,5.888,0.0004,128.15,0.0125,10.092
24,672,4,2048,51200,256,1,1,1,27.264,143.276,25.79,18.692,98.597,155.305,152.867,135.529,0.0081,9.194,0.0004,154.076,0.0085,15.736
24,696,4,2048,51200,256,1,1,1,8.304,127.381,27.747,16.671,81.02,141.323,159.563,147.339,0.0121,6.476,0.0004,149.89,0.0125,11.321
24,720,4,2048,51200,256,1,1,1,10.442,123.619,18.367,20.47,101.209,157.812,166.408,147.7,0.0115,7.154,0.0004,161.996,0.0119,12.602
24,744,4,2048,51200,256,1,1,1,8.795,130.654,29.547,17.848,96.48,108.249,162.065,147.834,0.0124,6.927,0.0006,129.8,0.013,12.209
24,768,4,2048,51200,256,1,1,1,30.807,156.81,32.062,21.992,122.635,185.876,189.261,147.131,0.0083,10.879,0.0004,187.553,0.0087,19.246
24,792,4,2048,51200,256,1,1,1,9.367,146.314,29.787,22.234,98.894,141.733,166.62,129.275,0.0132,7.132,0.0005,153.172,0.0138,12.832
24,816,4,2048,51200,256,1,1,1,11.654,158.352,32.097,24.148,101.881,167.914,173.275,101.032,0.0138,7.143,0.0005,170.552,0.0143,12.997
24,840,4,2048,51200,256,1,1,1,8.053,110.578,31.348,23.369,100.143,138.932,164.845,128.172,0.015,6.826,0.0006,150.783,0.0156,12.47
24,864,4,2048,51200,256,1,1,1,34.126,110.517,20.906,24.174,129.892,189.533,165.435,130.053,0.0103,10.395,0.0006,176.666,0.0108,18.892
24,888,4,2048,51200,256,1,1,1,6.87,77.891,32.999,24.841,110.047,141.212,187.212,133.034,0.017,6.549,0.0006,160.991,0.0176,12.172
24,912,4,2048,51200,256,1,1,1,12.956,153.047,35.936,26.646,128.172,163.947,188.118,134.92,0.0128,9.063,0.0006,175.203,0.0134,16.784
24,936,4,2048,51200,256,1,1,1,10.534,136.048,34.641,25.624,105.855,121.049,153.551,137.073,0.0143,8.422,0.0008,135.376,0.0151,15.543
24,960,4,2048,51200,256,1,1,1,38.078,178.144,38.152,26.962,141.859,194.656,125.976,138.281,0.0099,12.589,0.0008,152.96,0.0107,22.944
24,984,4,2048,51200,256,1,1,1,10.908,139.614,36.302,26.676,127.196,142.252,197.509,141.054,0.0145,8.919,0.0008,165.387,0.0153,16.774
24,1008,4,2048,51200,256,1,1,1,14.357,127.039,39.507,29.461,148.001,167.95,180.203,143.126,0.0131,10.224,0.0008,173.861,0.0139,19.245
24,1032,4,2048,51200,256,1,1,1,10.633,133.079,36.608,27.787,115.467,147.215,167.911,134.625,0.0157,8.868,0.0009,156.883,0.0166,16.816
24,1056,4,2048,51200,256,1,1,1,30.873,167.557,25.766,29.747,147.105,192.909,171.023,136.896,0.0118,12.216,0.0008,181.308,0.0126,23.043
24,1080,4,2048,51200,256,1,1,1,11.607,135.355,39.421,22.536,89.067,152.128,169.178,138.578,0.0159,9.338,0.001,160.2,0.0169,17.856
24,1104,4,2048,51200,256,1,1,1,15.39,158.284,42.921,32.15,139.06,149.424,178.2,140.374,0.0139,11.038,0.001,162.548,0.0149,21.01
24,1128,4,2048,51200,256,1,1,1,12.072,130.684,39.764,30.277,114.517,140.325,178.208,143.274,0.0157,10.109,0.0011,157.014,0.0168,19.397
24,1152,4,2048,51200,256,1,1,1,44.812,174.766,44.155,32.339,147.994,168.998,165.436,150.525,0.0107,15.302,0.001,167.198,0.0118,28.721
24,1176,4,2048,51200,256,1,1,1,12.394,137.226,35.949,30.464,129.153,136.985,180.346,130.561,0.017,9.981,0.0012,155.703,0.0182,19.328
24,1200,4,2048,51200,256,1,1,1,13.77,136.386,44.31,34.674,150.159,158.353,179.401,148.438,0.0154,11.375,0.0011,168.221,0.0165,22.042
24,1224,4,2048,51200,256,1,1,1,13.411,122.16,28.361,31.791,138.522,141.021,183.125,150.697,0.0165,10.957,0.0012,159.339,0.0177,21.293
24,1248,4,2048,51200,256,1,1,1,47.693,187.854,46.628,34.459,172.981,183.149,187.868,151.521,0.0113,16.396,0.0011,185.479,0.0124,31.362
24,1272,4,2048,51200,256,1,1,1,13.156,152.153,38.115,32.979,135.112,122.517,171.78,153.495,0.0166,11.549,0.0015,143.025,0.0181,22.346
24,1296,4,2048,51200,256,1,1,1,16.582,145.674,47.088,37.317,133.25,157.746,143.649,132.528,0.0163,12.081,0.0015,150.368,0.0178,23.472
24,1320,4,2048,51200,256,1,1,1,13.485,116.394,38.15,34.177,141.52,143.009,158.624,136.71,0.0181,11.226,0.0015,150.412,0.0196,22.018
24,1344,4,2048,51200,256,1,1,1,51.21,172.546,49.82,37.515,164.271,181.12,161.448,115.241,0.0143,14.538,0.0014,170.719,0.0157,28.305
24,1368,4,2048,51200,256,1,1,1,14.764,136.914,39.696,34.314,129.439,139.395,162.98,116.782,0.0194,11.027,0.0016,150.268,0.0211,21.809
24,1392,4,2048,51200,256,1,1,1,16.465,136.989,39.043,39.544,145.895,159.587,174.971,123.85,0.0184,11.983,0.0015,166.925,0.0199,23.822
24,1416,4,2048,51200,256,1,1,1,11.214,139.854,41.326,35.371,152.568,139.252,178.169,126.439,0.0213,10.64,0.0017,156.325,0.023,21.306
24,1440,4,2048,51200,256,1,1,1,43.178,185.582,52.288,40.124,185.771,176.754,167.293,142.782,0.0136,17.15,0.0016,171.893,0.0151,33.311
24,1464,4,2048,51200,256,1,1,1,14.198,130.684,26.355,35.824,149.76,142.083,179.629,143.751,0.0197,12.094,0.0018,158.665,0.0215,24.159
24,1488,4,2048,51200,256,1,1,1,20.41,153.178,53.32,42.167,134.377,142.54,170.081,144.401,0.0166,14.723,0.0019,155.098,0.0185,28.915
24,1512,4,2048,51200,256,1,1,1,15.509,140.552,43.952,37.332,158.793,103.596,184.024,147.692,0.0187,13.453,0.0023,132.565,0.0209,26.311
24,1536,4,2048,51200,256,1,1,1,66.718,180.069,56.283,43.482,187.936,187.489,191.512,148.92,0.0131,19.6,0.0016,189.479,0.0148,38.358
24,1560,4,2048,51200,256,1,1,1,14.899,140.771,42.386,39.701,139.024,140.926,183.531,133.493,0.0205,12.875,0.002,159.431,0.0225,25.895
24,1584,4,2048,51200,256,1,1,1,21.471,159.154,53.92,44.619,152.592,161.298,177.237,131.153,0.0183,14.791,0.0019,168.892,0.0203,29.609
24,1608,4,2048,51200,256,1,1,1,12.594,127.75,43.619,40.957,141.024,144.079,181.646,148.274,0.0215,12.892,0.0021,160.696,0.0236,26.086
24,1632,4,2048,51200,256,1,1,1,25.717,141.399,36.063,48.219,193.018,192.652,179.416,149.309,0.0172,16.483,0.0019,185.798,0.0191,33.128
24,1656,4,2048,51200,256,1,1,1,15.31,131.365,28.643,33.505,114.525,127.055,195.664,149.484,0.0216,13.485,0.0023,154.067,0.0239,27.207
24,1680,4,2048,51200,256,1,1,1,22.665,156.867,56.932,45.445,165.458,116.614,181.97,151.748,0.0177,16.862,0.0026,142.139,0.0203,32.957
24,1704,4,2048,51200,256,1,1,1,16.557,142.417,44.29,41.558,131.548,101.424,178.102,153.148,0.0203,15.029,0.0029,129.246,0.0232,29.516
24,1728,4,2048,51200,256,1,1,1,34.209,180.49,59.63,51.476,201.592,180.273,186.719,154.243,0.0159,19.549,0.0021,183.439,0.0181,38.893
24,1752,4,2048,51200,256,1,1,1,15.749,135.774,45.063,43.119,143.426,140.277,192.331,140.755,0.022,14.464,0.0025,162.231,0.0245,29.411
24,1776,4,2048,51200,256,1,1,1,20.736,147.125,46.327,49.359,167.982,162.658,200.832,155.784,0.0192,17.004,0.0023,179.74,0.0215,34.441
24,1800,4,2048,51200,256,1,1,1,11.609,137.852,41.26,44.127,136.281,140.042,175.665,141.95,0.0254,13.105,0.0027,155.843,0.0281,26.925
24,1824,4,2048,51200,256,1,1,1,28.133,142.04,62.491,53.458,183.904,194.211,182.629,144.447,0.0185,18.387,0.0023,188.242,0.0208,37.275
24,1848,4,2048,51200,256,1,1,1,16.298,137.743,47.856,43.419,144.806,142.712,157.894,144.624,0.0227,15.352,0.003,149.92,0.0256,31.021
24,1872,4,2048,51200,256,1,1,1,24.841,160.607,62.31,51.123,162.485,130.603,140.794,146.916,0.0194,18.306,0.0034,135.507,0.0228,35.732
24,1896,4,2048,51200,256,1,1,1,16.516,120.857,46.888,45.821,145.311,152.162,183.236,147.178,0.0231,15.691,0.0028,166.26,0.026,32.13
24,1920,4,2048,51200,256,1,1,1,35.883,175.65,65.416,56.692,162.081,179.847,137.19,147.475,0.018,20.537,0.0031,155.649,0.0211,40.376
24,1944,4,2048,51200,256,1,1,1,14.013,142.579,46.866,46.671,146.96,138.403,183.285,136.096,0.0258,14.653,0.0031,157.713,0.0289,30.175
24,1968,4,2048,51200,256,1,1,1,28.08,138.051,46.034,53.645,173.661,161.897,192.728,151.31,0.02,19.272,0.0029,175.972,0.0229,39.005
24,1992,4,2048,51200,256,1,1,1,12.698,104.909,49.256,47.448,128.089,157.324,194.684,151.866,0.0267,14.767,0.003,174.022,0.0297,30.819
24,2016,4,2048,51200,256,1,1,1,31.45,146.801,42.937,58.179,192.076,189.06,174.962,153.175,0.0198,20.297,0.0029,181.738,0.0227,41.126
24,2040,4,2048,51200,256,1,1,1,12.934,151.812,40.831,47.416,157.105,155.784,194.466,154.531,0.0266,15.423,0.0032,172.989,0.0297,32.144
24,2064,4,2048,51200,256,1,1,1,26.818,146.646,59.587,55.993,149.587,148.762,180.122,149.06,0.0211,19.821,0.0034,162.947,0.0245,39.839
24,2088,4,2048,51200,256,1,1,1,18.153,116.584,50.89,48.942,89.31,108.337,142.595,149.78,0.0249,17.13,0.0046,123.128,0.0295,33.806
24,2112,4,2048,51200,256,1,1,1,38.226,184.276,69.477,60.772,176.134,195.087,192.411,150.771,0.0192,22.549,0.003,193.74,0.0223,45.75
24,2136,4,2048,51200,256,1,1,1,17.377,131.202,51.315,49.471,136.448,133.959,182.888,137.977,0.0263,16.795,0.0039,154.646,0.0302,34.444
24,2160,4,2048,51200,256,1,1,1,24.881,149.865,67.079,57.536,151.07,169.357,174.11,152.673,0.0221,20.422,0.0036,171.701,0.0256,41.442
24,2184,4,2048,51200,256,1,1,1,13.145,144.183,37.879,50.436,137.442,134.199,191.06,153.355,0.0287,16.011,0.004,157.659,0.0326,33.218
24,2208,4,2048,51200,256,1,1,1,40.158,150.854,45.962,51.231,162.205,177.436,180.679,153.652,0.0209,22.395,0.0036,179.043,0.0245,45.259
24,2232,4,2048,51200,256,1,1,1,18.097,125.898,54.134,34.461,127.606,153.186,188.204,155.277,0.0265,17.989,0.0039,168.899,0.0303,37.217
24,2256,4,2048,51200,256,1,1,1,28.101,158.562,69.314,59.277,116.339,123.972,151.258,156.416,0.0222,21.894,0.0049,136.262,0.027,42.596
24,2280,4,2048,51200,256,1,1,1,18.058,139.554,52.313,52.107,140.277,133.983,195.086,156.75,0.026,18.956,0.0043,158.862,0.0303,38.739
24,2304,4,2048,51200,256,1,1,1,45.422,156.108,78.296,67.787,167.72,170.579,159.37,145.934,0.021,23.968,0.0042,164.784,0.0252,47.574
