num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
96,96,4,2048,51200,256,1,1,1,0.306,9.882,0.756,0.95,3.305,13.199,12.753,69.555,0.0299,0.235,0.0001,12.972,0.03,0.275
96,192,4,2048,51200,256,1,1,1,0.779,33.604,2.368,1.93,12.994,49.998,38.178,121.161,0.024,0.637,0.0001,43.296,0.0241,0.834
96,288,4,2048,51200,256,1,1,1,1.015,70.779,2.784,,,,,,,,,,,
96,96,4,2048,51200,256,1,1,1,0.312,8.834,0.771,0.95,2.238,11.687,11.022,69.538,0.0295,0.239,0.0001,11.344,0.0296,0.279
96,192,4,2048,51200,256,1,1,1,0.782,34.448,2.347,1.932,11.633,31.589,46.856,120.765,0.024,0.638,0.0001,37.737,0.0241,0.834
96,288,4,2048,51200,256,1,1,1,1.006,66.528,2.876,2.431,26.418,77.699,69.158,98.21,0.0291,0.85,0.0001,73.18,0.0293,1.217
96,384,4,2048,51200,256,1,1,1,3.737,84.355,3.484,3.822,45.965,112.578,115.871,117.481,0.0168,2.103,0.0002,114.201,0.017,3.218
96,480,4,2048,51200,256,1,1,1,1.662,114.159,4.171,4.692,55.092,124.83,139.655,170.249,0.0292,1.62,0.0002,131.827,0.0294,2.633
96,576,4,2048,51200,256,1,1,1,2.328,134.107,6.452,5.533,76.951,130.23,124.761,135.258,0.0269,2.249,0.0003,127.437,0.0272,3.819
96,672,4,2048,51200,256,1,1,1,2.314,146.956,6.369,5.611,97.815,132.904,143.22,138.763,0.0313,2.383,0.0004,137.869,0.0318,4.215
96,768,4,2048,51200,256,1,1,1,6.991,135.929,8.677,7.555,117.85,173.713,168.857,133.621,0.0189,4.78,0.0005,171.251,0.0193,8.669
96,864,4,2048,51200,256,1,1,1,2.947,155.211,6.456,8.273,119.067,186.641,166.471,131.183,0.0335,3.188,0.0006,175.98,0.0341,6.006
96,960,4,2048,51200,256,1,1,1,3.857,183.514,10.563,9.347,127.143,190.843,146.939,140.617,0.0293,4.261,0.0007,166.038,0.03,8.182
96,1056,4,2048,51200,256,1,1,1,3.592,181.976,11.676,8.396,135.256,164.037,144.762,138.742,0.0338,4.258,0.001,153.798,0.0348,8.347
96,1152,4,2048,51200,256,1,1,1,12.173,173.078,12.622,11.188,153.467,166.961,165.361,145.342,0.02,8.199,0.001,166.157,0.0211,16.043
