num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,16,4,2048,51200,256,1,1,1,0.403,0.271,0.966,0.9,0.082,0.348,0.207,13.824,0.0049,0.223,0.0001,0.26,0.005,0.224
16,32,4,2048,51200,256,1,1,1,0.826,1.075,2.279,1.787,0.351,1.421,0.903,23.424,0.0049,0.451,0.0001,1.104,0.005,0.467
16,48,4,2048,51200,256,1,1,1,1.083,2.412,2.815,2.507,0.753,3.112,3.062,33.092,0.0055,0.613,0.0001,3.087,0.0056,0.656
16,64,4,2048,51200,256,1,1,1,3.847,4.156,4.51,3.551,1.351,5.616,5.487,43.121,0.0035,1.289,0.0001,5.551,0.0036,1.402
16,80,4,2048,51200,256,1,1,1,1.377,6.425,4.668,4.081,1.448,8.819,8.652,58.884,0.0064,0.906,0.0001,8.734,0.0065,1.021
16,96,4,2048,51200,256,1,1,1,2.449,9.704,6.548,5.253,3.186,7.807,12.52,69.859,0.005,1.414,0.0001,9.618,0.0051,1.616
16,112,4,2048,51200,256,1,1,1,1.904,13.197,6.477,5.768,4.321,11.624,17.611,79.848,0.0065,1.293,0.0001,14.005,0.0066,1.52
16,128,4,2048,51200,256,1,1,1,7.642,18.154,8.751,,,,,,,,,,,
16,16,4,2048,51200,256,1,1,1,0.407,0.274,0.974,0.9,0.065,0.343,0.3,13.826,0.0049,0.224,0.0001,0.32,0.005,0.226
16,32,4,2048,51200,256,1,1,1,0.825,1.042,2.282,1.774,0.278,1.406,1.376,23.723,0.0049,0.45,0.0001,1.391,0.005,0.468
16,48,4,2048,51200,256,1,1,1,1.079,2.403,2.829,2.491,0.695,2.86,2.884,33.037,0.0055,0.611,0.0001,2.872,0.0056,0.653
16,64,4,2048,51200,256,1,1,1,3.833,4.191,4.533,3.498,1.351,5.597,5.505,43.235,0.0035,1.286,0.0001,5.551,0.0036,1.4
16,80,4,2048,51200,256,1,1,1,1.791,6.592,4.726,4.141,2.223,8.841,8.637,58.738,0.0055,1.062,0.0001,8.738,0.0055,1.195
16,96,4,2048,51200,256,1,1,1,2.463,7.1,6.472,5.256,2.382,13.062,12.71,69.663,0.005,1.407,0.0001,12.884,0.0051,1.617
16,112,4,2048,51200,256,1,1,1,2.505,13.265,4.935,5.772,4.422,17.432,17.285,79.959,0.0057,1.468,0.0001,17.358,0.0058,1.729
16,128,4,2048,51200,256,1,1,1,7.631,17.149,8.797,6.981,5.785,22.52,22.37,90.143,0.0035,2.75,0.0001,22.444,0.0036,3.272
16,144,4,2048,51200,256,1,1,1,3.07,22.273,9.6,7.028,6.956,20.553,30.119,92.641,0.0057,1.921,0.0001,24.433,0.0058,2.349
16,160,4,2048,51200,256,1,1,1,4.08,26.841,10.254,8.548,8.879,35.306,36.6,101.995,0.0052,2.39,0.0001,35.941,0.0053,2.983
16,176,4,2048,51200,256,1,1,1,3.899,32.672,11.652,8.806,11.052,32.47,44.208,111.541,0.0056,2.461,0.0001,37.441,0.0057,3.123
16,192,4,2048,51200,256,1,1,1,11.289,27.705,12.914,10.38,13.458,51.141,53.027,121.471,0.0037,4.139,0.0001,52.067,0.0038,5.312
16,208,4,2048,51200,256,1,1,1,4.569,41.18,13.612,10.354,15.49,58.679,64.498,129.835,0.0057,2.955,0.0001,61.451,0.0058,3.89
16,224,4,2048,51200,256,1,1,1,5.698,51.812,14.381,11.837,10.944,64.275,64.125,137.635,0.0053,3.467,0.0001,64.2,0.0054,4.622
16,240,4,2048,51200,256,1,1,1,5.249,46.05,15.481,12.017,20.234,72.65,80.453,144.465,0.0058,3.451,0.0001,76.353,0.0059,4.682
16,256,4,2048,51200,256,1,1,1,14.815,48.193,15.953,13.854,23.201,79.301,87.013,152.542,0.0038,5.594,0.0001,82.979,0.0039,7.626
16,272,4,2048,51200,256,1,1,1,5.267,57.357,16.704,10.416,24.799,76.525,76.14,112.864,0.007,3.29,0.0001,76.332,0.0071,4.588
16,288,4,2048,51200,256,1,1,1,6.728,76.403,13.498,12.046,30.28,78.917,70.742,114.912,0.0066,3.757,0.0001,74.606,0.0067,5.289
16,304,4,2048,51200,256,1,1,1,5.76,41.461,18.573,10.901,33.798,87.22,83.979,121.488,0.0073,3.634,0.0001,85.569,0.0074,5.197
16,320,4,2048,51200,256,1,1,1,18.531,87.381,19.05,13.269,36.158,99.45,96.587,126.069,0.0048,5.915,0.0001,97.998,0.0049,8.488
16,336,4,2048,51200,256,1,1,1,6.843,88.927,20.187,12.953,41.697,95.345,95.641,131.106,0.007,4.29,0.0002,95.492,0.0071,6.271
16,352,4,2048,51200,256,1,1,1,7.818,85.97,21.779,14.074,44.131,94.729,106.788,136.6,0.0067,4.751,0.0002,100.398,0.0068,7.012
16,368,4,2048,51200,256,1,1,1,6.858,85.557,22.201,14.068,49.973,101.593,113.901,133.938,0.0075,4.499,0.0002,107.395,0.0076,6.729
16,384,4,2048,51200,256,1,1,1,18.454,102.254,22.532,15.868,54.072,117.678,120.917,144.533,0.0051,6.914,0.0002,119.275,0.0053,10.359
16,400,4,2048,51200,256,1,1,1,7.235,92.521,23.993,13.431,56.254,110.609,127.008,148.421,0.0077,4.872,0.0002,118.243,0.0078,7.437
