num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,sdpa,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,mlp_4h_to_h,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
32,32,4,2048,51200,256,1,1,1,0.313,1.031,0.98,0.933,0.327,1.333,1.299,23.511,0.0103,0.214,0.0001,1.315,0.0104,0.225
32,64,4,2048,51200,256,1,1,1,0.782,4.049,2.321,1.868,1.322,5.755,5.326,42.863,0.0089,0.512,0.0001,5.532,0.009,0.566
32,96,4,2048,51200,256,1,1,1,1.01,9.275,2.852,2.644,3.003,12.256,11.76,69.56,0.01,0.706,0.0001,12.003,0.0101,0.819
32,128,4,2048,51200,256,1,1,1,4.111,16.145,4.559,3.686,4.866,19.174,21.037,89.985,0.0055,1.759,0.0001,20.062,0.0056,2.108
32,160,4,2048,51200,256,1,1,1,1.674,25.742,4.679,4.37,8.666,33.554,33.288,102.353,0.0102,1.217,0.0001,33.421,0.0103,1.531
32,192,4,2048,51200,256,1,1,1,1.917,35.197,5.064,5.483,9.063,46.603,27.949,,,,,,,
32,32,4,2048,51200,256,1,1,1,0.317,1.085,0.984,0.933,0.364,1.46,1.382,23.637,0.0103,0.216,0.0001,1.42,0.0103,0.227
32,64,4,2048,51200,256,1,1,1,0.807,4.396,2.336,1.864,1.064,5.716,3.36,42.837,0.0088,0.521,0.0001,4.233,0.0089,0.574
32,96,4,2048,51200,256,1,1,1,1.032,9.712,2.903,2.641,3.386,13.628,12.818,69.922,0.0098,0.718,0.0001,13.21,0.0099,0.833
32,128,4,2048,51200,256,1,1,1,4.106,16.777,4.576,3.697,5.8,23.302,22.332,90.279,0.0055,1.765,0.0001,22.807,0.0056,2.12
32,160,4,2048,51200,256,1,1,1,1.712,27.45,4.773,4.37,7.071,35.455,37.085,103.324,0.01,1.238,0.0001,36.252,0.0101,1.558
32,192,4,2048,51200,256,1,1,1,2.388,38.618,6.714,5.486,12.796,50.206,52.566,121.475,0.0089,1.71,0.0001,51.359,0.009,2.226
32,224,4,2048,51200,256,1,1,1,2.264,52.34,6.64,6.076,10.348,64.125,63.481,123.654,0.0107,1.719,0.0001,63.802,0.0108,2.314
32,256,4,2048,51200,256,1,1,1,8.189,63.261,8.894,7.274,23.022,83.3,62.03,154.963,0.0057,3.749,0.0001,71.109,0.0058,5.14
