m,n,k,throughput
32,4096,32,0.17
64,4096,64,0.688
128,4096,128,2.724
256,4096,256,10.277
512,4096,512,36.949
1024,4096,1024,86.21
2048,4096,2048,218.573
4096,4096,4096,205.243
8192,4096,8192,172.184
16384,4096,16384,172.14
32768,4096,32768,170.934
65536,4096,65536,170.619
131072,4096,131072,169.525
