num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
128,2048,4,2048,51200,256,1,1,1,19.09,0.0072,57.271,0.0,0.0,0.0072,133.632
128,4096,4,2048,51200,256,1,1,1,,,,,,,
128,2048,4,2048,51200,256,1,1,1,18.828,0.0073,56.483,0.0,0.0,0.0073,131.794
128,4096,4,2048,51200,256,1,1,1,43.798,0.0063,218.989,0.0,0.0,0.0063,569.37
128,8192,4,2048,51200,256,1,1,1,53.553,0.0103,481.981,0.0,0.0,0.0103,1338.835
128,16384,4,2048,51200,256,1,1,1,49.31,0.0223,838.272,0.0,0.0,0.0223,2416.197
128,32768,4,2048,51200,256,1,1,1,26.826,0.082,885.267,0.0,0.0,0.082,2602.148
