num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
8,128,4,2048,51200,256,1,1,1,11.956,0.0007,13.451,0.0,0.0,0.0007,16.44
8,256,4,2048,51200,256,1,1,1,,,,,,,
8,128,4,2048,51200,256,1,1,1,12.075,0.0007,13.585,0.0,0.0,0.0007,16.604
8,256,4,2048,51200,256,1,1,1,32.026,0.0005,40.032,0.0,0.0,0.0005,56.045
8,512,4,2048,51200,256,1,1,1,47.828,0.0007,71.742,0.0,0.0,0.0007,119.57
8,1024,4,2048,51200,256,1,1,1,59.456,0.0012,118.912,0.0,0.0,0.0012,237.825
8,2048,4,2048,51200,256,1,1,1,26.457,0.0052,79.371,0.0,0.0,0.0052,185.199
